curve_level_data,,,,,,,,,,,,,,
plant_id,treatment,id,leaf_temp,Tleaf_mean,Tleaf_sd,Tleaf_min,Tleaf_max,Tk,obs_vcmax,obs_jmax,obs_Vcmax25,obs_Jmax25,n_Aci_points,Tleaf_range
38D,23,38D_15,15,21.35216585,0.183097715,21.18704643,21.74369667,294.5021658,91.17825071,174.2935157,137.7810265,208.7312079,96,0.556650238
38D,23,38D_20,20,24.46522406,0.10176818,24.37128519,24.68895806,297.6152241,127.3078049,213.7979375,135.1653476,219.2000594,96,0.317672879
38D,23,38D_25,25,27.53673543,0.052286268,27.47999643,27.64200968,300.6867354,167.8503012,247.6461222,126.7071676,222.3065275,96,0.162013249
38D,23,38D_30,30,30.72471757,0.146430287,30.56190357,31.0222871,303.8747176,230.5367231,285.1318121,123.0376011,232.1217488,96,0.460383525
38D,23,38D_35,35,33.56114252,0.01954299,33.53853214,33.61093571,306.7111425,267.1931356,318.1272811,105.3849844,252.2575358,96,0.072403571
38D,23,38D_40,40,36.71661043,0.112396747,36.58046296,36.87912593,309.8666104,305.6962208,347.0914516,86.68640645,296.9281859,96,0.298662963
39D,23,39D_20,20,24.40042973,0.043403283,24.36346667,24.49389355,297.5504297,162.7886484,269.4795756,174.0973891,277.1367673,96,0.130426882
39D,23,39D_25,25,27.186326,0.101759385,27.08104286,27.40104194,300.336326,219.4377899,326.2414038,172.1617759,296.8939677,96,0.319999078
39D,23,39D_30,30,29.94331902,0.064508331,29.88089643,30.06237,303.093319,264.5666326,367.4209432,153.6202164,304.7440323,96,0.181473571
39D,23,39D_40,40,36.0387038,0.060953367,35.95597143,36.18169286,309.1887038,383.7248466,431.7795569,116.7396793,359.3518821,96,0.225721429
3D,37,3D_15,15,22.01856246,0.017054699,21.98886154,22.06550769,295.1685625,90.33169664,161.5664687,126.489008,186.9373307,96,0.076646154
3D,37,3D_25,25,26.96036837,0.053687435,26.87179167,27.1041,300.1103684,133.6067193,189.8855817,107.4664713,174.3768259,96,0.232308333
3D,37,3D_30,30,29.68447244,0.157132868,29.51423846,29.98982667,302.8344724,198.349388,225.6292006,118.4445621,188.4626246,96,0.475588205
3D,37,3D_35,35,31.85620605,0.114523332,31.70295385,32.105625,305.006206,229.7313601,253.4015442,108.6000727,202.3873669,96,0.402671154
3D,37,3D_40,40,34.6017848,0.077440225,34.49192308,34.72923077,307.7517848,357.6346316,340.3771344,126.4188416,272.8651953,96,0.237307692
40D,23,40D_15,15,21.81109344,0.239404718,21.60622593,22.37016452,294.9610934,112.8033656,187.1602714,161.7406408,218.8723178,96,0.76393859
